# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.6.1
#@/tick	154004
#@/user_id	linusboyle
bai tuo 	擺脫	c=3 d=0.268474 t=154004
bai wu ya 	白烏鴉	c=2 d=4.55832e-13 t=154004
bai xian yong 	白先勇	c=3 d=0.069132 t=154004
bai xing 	百姓	c=1 d=5.98213e-15 t=154004
bai yang 	白陽	c=1 d=1.58047e-32 t=154004
bai yu 	白魚	c=1 d=3.8539e-48 t=154004
bai zai 	擺在	c=2 d=0.000157671 t=154004
bai zhan ting 	拜占庭	c=2 d=8.02802e-26 t=154004
bai zhe 	敗者	c=1 d=1.08983e-12 t=154004
bai zhong 	擺鐘	c=1 d=5.53649e-16 t=154004
bai zi 	白字	c=0 d=0.000130703 t=154004
ban 	半	c=10 d=6.79156e-08 t=154004
ban 	扮	c=1 d=3.1494e-26 t=154004
ban 	搬	c=1 d=1.40974e-40 t=154004
ban 	板	c=2 d=0.179964 t=154004
ban 	版	c=23 d=0.88692 t=154004
ban 	班	c=21 d=0.0778145 t=154004
ban 	辦	c=14 d=1.93896e-05 t=154004
ban ben 	版本	c=61 d=0.889704 t=154004
ban ben er 	扳本兒	c=1 d=2.37703e-10 t=154004
ban ben guan li 	版本管理	c=2 d=8.43063e-22 t=154004
ban ben kong zhi 	版本控制	c=2 d=6.4037e-51 t=154004
ban ben yi 	版本一	c=1 d=0.0294518 t=154004
ban cheng pin 	半成品	c=2 d=0.307279 t=154004
ban chi 	半尺	c=0 d=0.00223708 t=154004
ban chi jian 	半尺劍	c=1 d=0.0224829 t=154004
ban chu lai 	搬出來	c=1 d=3.99687e-06 t=154004
ban da shi 	辦大事	c=1 d=7.13104e-23 t=154004
ban dao ti 	半導體	c=3 d=0.00283702 t=154004
ban deng 	板凳	c=0 d=1.09377e-26 t=154004
ban fa 	辦法	c=26 d=0.0782481 t=154004
ban ge 	半個	c=0 d=1.35612e-26 t=154004
ban ge xue qi 	半個學期	c=1 d=1.36292e-25 t=154004
ban ge yue 	半個月	c=0 d=2.05332e-24 t=154004
ban gong 	辦公	c=1 d=2.28849e-34 t=154004
ban gong hui 	辦公會	c=0 d=1.8576e-22 t=154004
ban gong hui si 	辦公會四	c=1 d=1.86691e-21 t=154004
ban gong shi 	辦公室	c=11 d=3.70622e-21 t=154004
ban hui 	班會	c=1 d=3.79277e-07 t=154004
ban ji 	板極	c=2 d=1.50467e-05 t=154004
ban ji 	班級	c=5 d=0.000937961 t=154004
ban jia 	搬家	c=1 d=0.00637737 t=154004
ban jing 	半徑	c=6 d=0.0668703 t=154004
ban ka 	辦卡	c=1 d=1.56283e-47 t=154004
ban kuai 	斑塊	c=1 d=8.76368e-66 t=154004
ban kuai 	板塊	c=2 d=1.06513e-07 t=154004
ban le 	搬了	c=0 d=3.7363e-08 t=154004
ban le guo lai 	搬了過來	c=2 d=0.00265885 t=154004
ban li 	班裏	c=1 d=8.82168e-26 t=154004
ban li 	辦理	c=1 d=1.15063e-33 t=154004
ban men nong fu 	班門弄斧	c=1 d=0.0689068 t=154004
ban nian 	半年	c=3 d=0.000488095 t=154004
ban qi 	辦起	c=0 d=2.80393e-13 t=154004
ban qi lai 	搬起來	c=1 d=2.80393e-12 t=154004
ban qi lai 	辦起來	c=1 d=2.81798e-12 t=154004
ban quan 	版權	c=1 d=3.95844e-10 t=154004
ban quan suo you 	版權所有	c=1 d=1.25075e-44 t=154004
ban shi chu 	辦事處	c=1 d=0.00640933 t=154004
ban shi shi 	辦實事	c=0 d=1.65069e-15 t=154004
ban shou li 	伴手禮	c=1 d=5.85831e-63 t=154004
ban shuang gong 	半雙工	c=0 d=3.1401e-51 t=154004
ban shuang gong xi tong 	半雙工系統	c=1 d=3.15584e-50 t=154004
ban sui zhe 	伴隨着	c=2 d=0.687289 t=154004
ban tian 	半天	c=1 d=1.06513e-07 t=154004
ban tou ming 	半透明	c=1 d=7.59806e-34 t=154004
ban tuan 	班團	c=1 d=1.42856e-49 t=154004
ban tuo fei 	半駝廢	c=18 d=5.20334 t=154004
ban xiang 	扮相	c=1 d=0.031273 t=154004
ban xiao shi 	半小時	c=1 d=1.61437e-17 t=154004
ban xue qi 	半學期	c=1 d=6.6293e-47 t=154004
ban yan 	扮演	c=1 d=1.7458e-26 t=154004
ban ye 	半夜	c=1 d=0.0126512 t=154004
ban yuan yin 	半元音	c=1 d=2.63293e-07 t=154004
ban zheng 	辦證	c=3 d=1.03668e-12 t=154004
ban zheng ding 	半正定	c=3 d=2.93872e-74 t=154004
ban zheng ding xing 	半正定性	c=1 d=1.60207e-74 t=154004
ban zhou chang 	半週長	c=1 d=2.19838e-32 t=154004
ban zi 	板子	c=2 d=5.0249e-28 t=154004
ban zou 	伴奏	c=0 d=0.00314298 t=154004
bang 	幫	c=5 d=1.65408e-14 t=154004
bang 	邦	c=1 d=0.013912 t=154004
bang dao 	幫到	c=0 d=8.91005e-56 t=154004
bang dao ni 	幫到你	c=1 d=8.95471e-55 t=154004
bang ding 	綁定	c=20 d=0.0297484 t=154004
bang ding bian liang 	綁定變量	c=1 d=2.00194e-19 t=154004
bang ding dao 	綁定到	c=1 d=4.24027e-25 t=154004
bang guan zhu 	幫關注	c=1 d=8.14344e-26 t=154004
bang le 	綁了	c=2 d=1.95196e-15 t=154004
bang ni 	幫你	c=3 d=0.000376347 t=154004
bang ni men 	幫你們	c=1 d=1.41729e-44 t=154004
bang pai 	幫派	c=2 d=0.0850771 t=154004
bang qiu 	棒球	c=12 d=0.076923 t=154004
bang qiu chang 	棒球場	c=1 d=2.03427e-31 t=154004
bang qiu dui 	棒球隊	c=4 d=0.00327971 t=154004
bang qiu sai 	棒球賽	c=1 d=2.1279e-31 t=154004
bang qiu xun lian 	棒球訓練	c=1 d=5.64816e-45 t=154004
bang ta 	幫他	c=1 d=6.10194e-13 t=154004
bang wan 	傍晚	c=1 d=0.000105163 t=154004
bang wo 	幫我	c=6 d=0.0909016 t=154004
bang wo men 	幫我們	c=1 d=5.46894e-48 t=154004
bang yan 	邦彥	c=1 d=2.20093e-75 t=154004
bang zhu 	幫助	c=31 d=0.251579 t=154004
bang zhu wen dang 	幫助文檔	c=2 d=0.0071546 t=154004
bang zhu wo 	幫助我	c=1 d=2.22131e-07 t=154004
bang zhu xi tong 	幫助系統	c=1 d=6.99341e-29 t=154004
bao 	保	c=2 d=2.80775e-28 t=154004
bao 	包	c=41 d=0.57695 t=154004
bao 	報	c=15 d=0.0740995 t=154004
bao 	爆	c=1 d=0.00470091 t=154004
bao bao 	寶寶	c=2 d=1.72103e-05 t=154004
bao biao 	保鏢	c=1 d=0.000407691 t=154004
bao biao 	報表	c=4 d=3.78509e-32 t=154004
bao bu liao 	報不了	c=1 d=1.47849e-12 t=154004
bao can shou que 	抱殘守缺	c=1 d=0.0347353 t=154004
bao chi 	保持	c=46 d=0.179091 t=154004
bao chi 	抱持	c=5 d=0.0528568 t=154004
bao chi zhe 	保持着	c=1 d=8.70811e-50 t=154004
bao cun 	保存	c=32 d=0.341301 t=154004
bao cuo 	報錯	c=7 d=0.790571 t=154004
bao dao 	報到	c=1 d=5.67182e-06 t=154004
bao dao 	報道	c=6 d=5.64353e-06 t=154004
bao dian 	寶典	c=0 d=1.33688e-05 t=154004
bao die 	暴跌	c=3 d=2.01067e-33 t=154004
bao fa 	爆發	c=11 d=0.0682212 t=154004
bao fa hu 	暴發戶	c=1 d=8.9334e-27 t=154004
bao fu 	抱負	c=5 d=9.44684e-08 t=154004
bao gao 	報告	c=94 d=0.929135 t=154004
bao gao li 	報告裏	c=1 d=5.20205e-77 t=154004
bao gao ting 	報告廳	c=1 d=4.98363e-43 t=154004
bao guan 	保管	c=1 d=0.0118551 t=154004
bao guan li 	包管理	c=5 d=0.00747887 t=154004
bao guan li qi 	包管理器	c=1 d=2.19652e-22 t=154004
bao gui 	寶貴	c=3 d=3.6541e-10 t=154004
bao guo 	報國	c=1 d=3.24476e-24 t=154004
bao han 	包含	c=29 d=0.914464 t=154004
bao han le 	包含了	c=4 d=0.108067 t=154004
bao he 	飽和	c=1 d=2.91281e-19 t=154004
bao he du 	飽和度	c=1 d=0.000422213 t=154004
bao hu 	保護	c=17 d=0.602102 t=154004
bao hu mo shi 	保護模式	c=5 d=2.98896e-55 t=154004
bao huan chong 	包緩衝	c=1 d=5.6842e-61 t=154004
bao huang pai 	保皇派	c=1 d=2.24516e-15 t=154004
bao jian 	寶鑑	c=1 d=8.4206e-08 t=154004
bao jiang 	包漿	c=1 d=6.13044e-09 t=154004
bao kuo 	包括	c=68 d=0.29671 t=154004
bao kuo le 	包括了	c=1 d=3.71249e-20 t=154004
bao kuo zai 	包括在	c=1 d=1.24113e-12 t=154004
bao kuo zai nei 	包括在內	c=1 d=2.80431e-43 t=154004
bao le 	報了	c=0 d=0.00405589 t=154004
bao li 	包裏	c=1 d=2.27282e-12 t=154004
bao li 	暴力	c=9 d=5.39661e-06 t=154004
bao li fen zi 	暴力分子	c=1 d=1.88081e-20 t=154004
bao liu 	保留	c=11 d=0.101266 t=154004
bao liu zhan 	保留站	c=5 d=1.58171e-64 t=154004
bao lu 	暴露	c=10 d=0.000229397 t=154004
bao lu chu 	暴露出	c=1 d=0.353455 t=154004
bao lu chu le 	暴露出了	c=2 d=5.76413e-10 t=154004
bao luan 	暴亂	c=12 d=1.52078e-09 t=154004
bao luan fa zhan 	暴亂發展	c=1 d=1.22644e-19 t=154004
bao luan ren yuan 	暴亂人員	c=1 d=4.86323e-20 t=154004
bao mi 	保密	c=4 d=0.00895987 t=154004
bao min 	暴民	c=1 d=1.16401e-22 t=154004
bao ming 	包名	c=1 d=0.759572 t=154004
bao ming 	報名	c=21 d=1.98636 t=154004
bao ming biao 	報名表	c=1 d=2.83944e-13 t=154004
bao nu 	暴怒	c=1 d=7.50584e-08 t=154004
bao po yin 	爆破音	c=1 d=2.44268e-07 t=154004
